SRA	ID	Substrate	Country	GeographicOrigin	Latitude	Longitude	HOST_TYPE	HOST_ORDER	HOST_FAMILY	HOST_GENUS	HOST_NAME	Study	Pop	Pop_clade
SPA0423_011_001	AH002	soil	Taiwan	NA	24.097222	121.180754	plant	Fagales	Fagaceae	Quercus	Quercus stenophylloides	This	TW4a	TW4a
SPA0083_016_001	BH032	NA	Taiwan	Yilan_Yuanshan	24.762702	121.585375	plant	Fagales	Fagaceae	Quercus	Quercus variabilis	This	TW2b	TW2b
SP00147_017_001	GH002	Fallen fruit	Taiwan	Nantou_Puli	23.990053	121.01594	plant	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii	This	TW4b	TW4b
SPA0283_031_001	GY006	litter	Taiwan	Nantou_Renai	24.091514	121.177087	plant	Fagales	Fagaceae	Quercus	Quercus stenophylloides	This	TW4a	TW4a
SPA0551_008_001	IH003	fallen fruit	Vietnam	LamDong_LacDuong	12.181353	108.68388	plant	Fagales	Fagaceae	NA	NA	This	CHN-I	CHN-I
SPA0624_002_001	KH015	NA	Philippines	Laguna_LosBaños	14.148212	121.231957	plant	Rosales	Moraceae	Artocarpus	Artocarpus blancoi	This	Philippines	Philippines
LY0177_002_001	LY0177	lichen	Taiwan	Taichung_Heping	24.39797	121.3079	lichen	Peltigerales	Peltigeraceae	Peltigera	Peltigera sp.	SRP334167	TW4a	TW4a
SPA0866_001_001	NH001	litter	China	Jiangxi_Jiujiang	29.545084	115.805342	plant	-	-	-	-	This	TW3a;Asian_Oak	TW3a;Asian_Oak
SPA0883_001_001	NH021	litter	China	Zhejiang_Hangzhou	30.44147	119.622744	plant	-	-	-	-	This	CHN-X	CHN-X
SPA1025_005_001	NH056	fallen fruit	Taiwan	Mt. Dongmao	24.17908	120.941321	plant	Fagales	Fagaceae	Quercus	Quercus glauca	This	TW4b_mosaic	Wild_TW
SPA0947_003_001	OH113	litter	Philippines	Bukidnon_Quezon	7.770028	125.222346	plant	Fagales	Fagaceae	Lithocarpus	Lithocarpus sp.	This	THAI-II	THAI-II
SPA0955_003_001	OH137	litter	Philippines	CamarinesSur_Libmanan	13.60263	123.01465	plant	Rosales	Urticaceae	Leucosyke	Leucosyke capitellata	This	CHN-X	CHN-X
SP00001_008_001	PD01B	soil	Taiwan	Taipei_Daan	25.01695781	121.5372711	plant	Fagales	Fagaceae	Quercus	Quercus glauca	SRP334167	TW5	TW5
SP00101_001_001	PD26A	fruit	Taiwan	Hualien_Fuli	23.142751	121.283268	plant	Rosales	Moraceae	Broussonetia	Broussonetia papyrifera	SRP334167	TW3a;Asian_Oak	TW3a;Asian_Oak
SP00104_004_001	PD28A	bark	Taiwan	Taitung_Beinan	22.797075	121.035732	plant	Fagales	Fagaceae	Castanopsis	Castanopsis carlesii	This	TW3a;Asian_Oak	TW3a;Asian_Oak
SP00127_001_001	PD31A	bark	Taiwan	Taitung_Dawu	22.322243	120.878276	plant	Laurales	Lauraceae	Cinnamomum	Cinnamomum osmophloeum	This	TW2a	TW2a
SP00134_002_001	PD33A	leaf	Taiwan	Taitung_Daren	22.239032	120.854663	plant	Fagales	Fagaceae	Castanopsis	Castanopsis carlesii	SRP334167	TW2a	TW2a
SP00016_001_001	PD41A	fruit	Taiwan	Island_Dongsha	20.701323	116.727952	plant	Pinales	Pinaceae	Pinus	NA	This	TW3a;Asian_Oak_mosaic	Wild_TW
SPA0852_013_001	QH160	soil	Taiwan	Nantou_Yuchih	23.919001	120.881912	plant	Fagales	Fagaceae	Castanopsis	Castanopsis carlesii var. sessilis	This	TW3b	TW3b
SP00171_003_001	RG06	fruit	Taiwan	Pingtung_Majia	22.649738	120.638448	plant	Ericales	Primulaceae	Ardisia	Ardisia cornudentata subsp. morrisonensis	This	TW3a;Asian_Oak	TW3a;Asian_Oak
SP00191_003_001	RG08	bark	Taiwan	Pingtung_Fangliao	22.417089	120.704552	plant	Fagales	Fagaceae	Quercus	Quercus glauca	SRP334167	TW3a;Asian_Oak	TW3a;Asian_Oak
SPA0023_010_001	S1	soil	Taiwan	Taipei_Nangang	25.045309	121.612676	plant	Ericales	Sapotaceae	Palaquium	Palaquium formosanum	SRP334167	TW2b	TW2b
SPA0144_002_001	S17	leaf	Taiwan	NewTaipei_Xizhi	25.037074	121.676923	plant	Ericales	Primulaceae	Ardisia	Ardisia sieboldii	SRP334167	TW2b	TW2b
SP00353_003_001	SR27	bark	Taiwan	Nantou_Yuchi	23.9231329	120.891646	plant	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii	This	TW3b	TW3b
SPA0189_007_001	XI02	bark	Taiwan	NewTaipei_Shiding	25.002877	121.687222	plant	Sapindales	Sapindaceae	Koelreuteria	Koelreuteria elegans subps. formosana	This	Philippines	Philippines
ERR11580221	ERR11580221	Acidified milk 'nunu'	France	Normandy France	48.87987	0.17125	fermentation	NA	NA	NA	NA	ERP148425	Dairy	Dairy
ERR11580225	ERR11580225	Camel Fermented Milk (dough)	Iran	Jandagh, Iran	34.04173	54.41537	fermentation	NA	NA	NA	NA	ERP148425	Dairy	Dairy
ERR11580224	ERR11580224	Cow Fermented Milk (dough)	Iran	Roudbar, Iran	36.80971	49.4161	fermentation	NA	NA	NA	NA	ERP148425	Dairy	Dairy
ERR11580223	ERR11580223	Cow Fermented Milk (dough)	Iran	Semnan, Iran	35.5767	53.39491	fermentation	NA	NA	NA	NA	ERP148425	Dairy	Dairy
ERR11580209	ERR11580209	Lichen	Thailand	Chom Tong, Chiangmai, Thailand	18.37463	98.61606	lichen	NA	NA	NA	NA	ERP148425	TW3a;Asian_Oak	TW3a;Asian_Oak
ERR11580199	ERR11580199	Lichen	Thailand	Phu Ruea, Loei, Thailand	17.38865	101.3885	lichen	NA	NA	NA	NA	ERP148425	TW3a;Asian_Oak_mosaic	Wild_TW
ERR11580195	ERR11580195	Tree exudate	Thailand	Sangkhlaburi, Kanchanaburi, Thailand	15.15657	98.39649	plant	NA	NA	NA	NA	ERP148425	THAI-II	THAI-II
ERR11580207	ERR11580207	Insect frass	Thailand	Nopphitam, Nakhon Si Thammarat, Thailand	8.72209	99.75066	insect	NA	NA	NA	NA	ERP148425	TW3a;Asian_Oak	TW3a;Asian_Oak
ERR11580202	ERR11580202	Mushroom	Thailand	Khlong Thom, Krabi, Thailand	7.90049	99.23421	fungus	NA	NA	NA	NA	ERP148425	TW3a;Asian_Oak_mosaic	Wild_TW
ERR11580194	ERR11580194	Lichen	Thailand	Tha Wang Pha, Nan, Thailand	19.10962	100.75488	lichen	NA	NA	NA	NA	ERP148425	CHN-X_mosaic	Wild_East_Asia_Basal
ERR11580204	ERR11580204	Mushroom	Thailand	Khlong Lan, Kamphaeng Phet, Thailand	16.28542	99.23421	fungus	NA	NA	NA	NA	ERP148425	TW3a;Asian_Oak	TW3a;Asian_Oak
