sample_name	country	country_code	region	region_code	latitude	longitude
AUS_WAL_OA_001	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_002	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_003	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_004	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_005	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_006	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_007	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_008	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_009	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
AUS_WAL_OA_010	Australia	AUS	Wallangarra	WAL	-28.902421	151.8764433
BEN_BEN_OA_001	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_004	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_005	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_007	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_008	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_009	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_010	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_011	Benin	BEN	Benin	BEN	9.3077	2.3158
BEN_BEN_OA_013	Benin	BEN	Benin	BEN	9.3077	2.3158
BRA_BRA_OA_001	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_004	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_005	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_007	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_008	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_009	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_010	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_011	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_012	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
BRA_BRA_OA_013	Brazil	BRA	Brazil	BRA	-14.235	-51.9253
CAP_CAP_CH_002	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_003	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_005	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_006	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_007	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_008	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_009	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_011	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_013	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
CAP_CAP_CH_014	Cape_Verde	CAP	Cape_Verde	CAP	15.1200988	-23.7452586
FRA_BER_CH_001	France	FRA	Bertholet	BER	45.5301611	5.6385819
FRA_BER_CH_002	France	FRA	Bertholet	BER	45.5301611	5.6385819
FRA_BER_CH_003	France	FRA	Bertholet	BER	45.5301611	5.6385819
FRA_BER_CH_004	France	FRA	Bertholet	BER	45.5301611	5.6385819
FRA_BOL_CH_001	France	FRA	Boisgontier	BOL	45.5301611      5.6385819
FRA_BOL_CH_002	France	FRA	Boisgontier	BOL	45.5301611      5.6385819
FRA_BOL_CH_003	France	FRA	Boisgontier	BOL	45.5301611      5.6385819
FRA_BOL_CH_004	France	FRA	Boisgontier	BOL	45.5301611      5.6385819
FRA_CER_CH_001	France	FRA	Ceretta	CER	45.5301611      5.6385819
FRA_CER_CH_002	France	FRA	Ceretta	CER	45.5301611      5.6385819
FRA_CER_CH_003	France	FRA	Ceretta	CER	45.5301611      5.6385819
FRA_CER_CH_004	France	FRA	Ceretta	CER	45.5301611      5.6385819
FRG_AVE_OA_001	Guadeloupe	GUA	Averne	AVE	16.2015433	-61.6185267
FRG_AVE_OA_002	Guadeloupe	GUA	Averne	AVE	16.2015433	-61.6185267
