# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "5" "--countReadPairs" "-t" "exon" "-g" "Parent" "-a" "strongyloides_stercoralis.PRJEB528.WBPS19.annotations.gff3" "-o" "counts.txt" "ERR146941" "ERR146942" "ERR146943" "ERR146944" "ERR146945" "ERR146946" "ERR146947" "ERR146948" "ERR146949" "ERR146950" "ERR146951" "ERR146952" "ERR146953" "ERR146954" "ERR146955" "ERR146956" "ERR146957" "ERR146958" "ERR146959" "ERR146960" "ERR146961" 
Geneid	Chr	Start	End	Strand	Length	ERR146941	ERR146942	ERR146943	ERR146944	ERR146945	ERR146946	ERR146947	ERR146948	ERR146949	ERR146950	ERR146951	ERR146952	ERR146953	ERR146954	ERR146955	ERR146956	ERR146957	ERR146958	ERR146959	ERR146960	ERR146961
SSTP_0000074464.1	SSTP_scaffold0000001;SSTP_scaffold0000001	2348;2717	2539;3115	-;-	591	4	3	7	16	23	20	0	0	0	0	0	0	2	3	0	13	3	9	4	2	7
SSTP_0000074476.1	SSTP_scaffold0000001;SSTP_scaffold0000001	3291;3608	3560;3778	-;-	441	2	4	0	12	21	15	0	0	0	0	0	0	1	1	1	4	0	3	1	1	4
SSTP_0000074488.1	SSTP_scaffold0000001	3848	4165	-	318	0	3	3	11	7	11	0	0	0	0	0	0	0	0	0	4	1	3	1	3	4
SSTP_0000074500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	5012;5209	5033;5510	-;-	324	3	2	4	17	27	10	0	0	0	0	2	0	2	1	1	11	5	6	3	0	1
SSTP_0000074550.1	SSTP_scaffold0000001;SSTP_scaffold0000001	5607;8577	5887;8814	-;-	519	3	4	1	13	19	21	0	0	0	0	0	0	0	0	2	2	2	9	3	4	4
SSTP_0000074600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	10562;11305;15582;15665	10858;11597;15618;15682	-;-;-;-	645	2	2	2	10	2	11	0	0	1	0	0	0	0	0	0	9	6	5	1	2	7
SSTP_0000074700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	16559;19102	19065;20482	-;-	3888	41	58	46	1089	1128	1051	463	335	281	395	253	339	198	226	233	131	135	165	62	77	78
SSTP_0000074800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	22349;22553;22662;22843	22498;22618;22704;23603	+;+;+;+	1020	6433	5313	5151	2965	2807	2925	879	1063	1233	1799	2290	2674	3425	3148	3102	3174	2915	3541	4003	4005	4155
SSTP_0000074900.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	23963;24020;24258;24706;24917	23972;24213;24663;24802;25172	+;+;+;+;+	963	57	70	63	1361	1240	1284	631	699	869	534	628	719	440	458	565	165	154	167	38	35	26
SSTP_0000075000.1	SSTP_scaffold0000001	27744	28118	-	375	13	8	41	75	85	99	37	60	32	9	13	14	12	13	13	90	38	106	29	25	26
SSTP_0000075100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	29354;30018	29416;30221	+;+	267	21	29	28	257	191	210	82	94	74	33	35	28	23	23	24	43	20	38	49	40	49
